Username,Language Spoken,Gender,Location,Followers,Average likes,Average Comments,Engagement
march.lemon,ja,unknown,,36897,3447,52,9.0
tomoko_misumi_tchaiko,ja,unknown,,51996,3284,45,6.0
5577coron,ja,unknown,,5988,664,11,11.0
johnny777,en,unknown,,29573,1354,40,5.0
komomo.0103,ja,unknown,,4141,340,12,9.0
love626gram,ja,unknown,,29935,2938,35,10.0
ikedda,en,unknown,,179081,26044,100,15.0
matthewthehedgehog,ja,unknown,,45403,2632,28,6.0
misakuranaga,ja,unknown,,76476,3708,9,5.0
nico.040430,ja,unknown,,990,220,39,26.0
lyripapa,el,unknown,,1429,214,10,16.0
kinakobun.bento,ja,unknown,,24983,1320,0,5.0
mambo926,en,unknown,,21183,1959,36,9.0
seonia,en,unknown,,187009,5201,120,3.0
chumkenoikimonotati,ja,unknown,,3743,445,19,12.0
amour_snoo_py,unknown,unknown,,3941,346,5,9.0
hirobenz250,ja,unknown,,4053,524,10,13.0
zooeyinthecity,en,unknown,,116917,4903,52,4.0
_cookieboy_,en,unknown,,26535,650,3,2.0
licca_tarao_0311,en,unknown,,32794,1779,25,6.0
yuuukiiinaaa,jp,unknown,,4439590,87403,209,2.0
katorishingo_official,unknown,unknown,,1472773,135703,2784,9.0
watanabenaomi703,da,unknown,,7899861,432861,2056,6.0
hinafollet,ja,unknown,,4462,551,3,12.0
choom.online,ja,unknown,,9261,667,9,7.000000000000001
hobopeeba,en,unknown,,515329,21526,185,4.0
isopresso_balloon,en,unknown,,16055,1233,11,8.0
maron__0626,ja,unknown,,20061,2263,31,11.0
_hikari_____,da,unknown,,92042,1758,8,2.0
naomiosakatennis,en,unknown,,56625,10077,342,18.0
masa.fb,en,unknown,,14805,1815,38,13.0
da1pix,en,unknown,,8952,994,23,11.0
ramune0123,en,unknown,,44376,3251,88,8.0
ochibits,ja,unknown,,26286,1536,26,6.0
gu_gu_memo,ja,unknown,,3031,389,3,13.0
a_ponnnn,ja,unknown,,8435,329,6,4.0
karinpyong,en,unknown,,105812,7650,107,7.000000000000001
hryphoto,en,unknown,,16042,1496,20,9.0
nuikobo,en,unknown,,3915,339,1,9.0
riepoyonn,ja,unknown,,164346,11612,284,7.000000000000001
yokoxbeauty,en,unknown,,5240,163,6,3.0
yk,en,unknown,,196786,7481,75,4.0
estyle1010,ja,unknown,,25605,1699,30,7.000000000000001
maplelatte_erica,ja,unknown,,33791,1392,15,4.0
megumiseki.hanawa,ja,unknown,,9251,588,11,6.0
ame_the_akita,ja,unknown,,2245,291,12,13.0
hiro_photograph,en,unknown,,20915,1713,46,8.0
sasukeharaguchi,en,unknown,,10969,687,13,6.0
_pizzicato_,en,unknown,,72309,4621,5,6.0
mr_riu,en,unknown,,168491,2803,24,2.0
ojaru427,ja,unknown,,2589,315,18,13.0
wasabitool,ja,unknown,,19593,2737,34,14.000000000000002
econeco,ja,unknown,,17177,507,2,3.0
minapple,ja,unknown,,500281,12896,57,3.0
tamsworks,ja,unknown,,39597,1068,5,3.0
rinomishima,en,unknown,,2199,84,2,4.0
sakuracos,en,unknown,,75251,1290,6,2.0
lovebirdpiko,ja,unknown,,6533,557,18,9.0
majesticdisorder,en,unknown,,69981,1888,38,3.0
immrsht73,unknown,unknown,,13152,1099,12,8.0
tofuko0611,ja,unknown,,14684,1459,18,10.0
shibainu.berry,en,unknown,,107232,5716,73,5.0
mai.y.glass,ja,unknown,,6387,879,6,14.000000000000002
rinne172,ja,unknown,,124808,10588,182,9.0
miyoshi.aa,ja,unknown,,725207,22306,260,3.0
norito_m,en,unknown,,22711,4479,38,20.0
moqsama,ja,unknown,,91719,3434,43,4.0
maimi_koori,ja,unknown,,2466,114,0,5.0
orinemunemu,en,unknown,,4881,750,7,16.0
tattivasilieva,en,unknown,,328090,18016,193,6.0
rikarin0526,en,unknown,,20893,512,2,2.0
o_bent_o,ja,unknown,,4734,689,3,15.0
leolilylovechan,en,unknown,,1308,128,12,11.0
watara_ikebana,ja,unknown,,12960,730,2,6.0
choppe_tt,ja,unknown,,27429,2249,17,8.0
exotic_toshi,en,unknown,,20184,322,2,2.0
yuukokatayama,en,unknown,,1664,212,1,13.0
chibichibin,da,unknown,,11545,407,7,4.0
nabecam,en,unknown,,3090,501,7,16.0
mei_hamuu,ja,unknown,,5445,482,9,9.0
miori__ny,ja,unknown,,9674,681,18,7.000000000000001
globemakers,en,unknown,,170961,1627,15,1.0
nattsxx,ja,unknown,,70745,3980,34,6.0
midori.muko,ja,unknown,,3984,467,3,12.0
yukikashiwagi_official,en,unknown,,150020,16196,240,11.0
junjunmam64,ja,unknown,,29218,2342,19,8.0
tachineko.ym,ja,unknown,,43147,3051,16,7.000000000000001
sogggggy,en,unknown,,82080,3371,42,4.0
yumikohiguchi,ja,unknown,,205909,10545,41,5.0
pizzatoru,ja,unknown,,128558,5151,62,4.0
__yuinstagram__,en,unknown,,34140,1192,6,4.0
shinomatsuda,en,unknown,,8744,1060,11,12.0
mikako_tsuruta,ja,unknown,,2108,198,1,9.0
happyroad88,ja,unknown,,1096,179,12,17.0
365cleaneats,en,unknown,,11014,1547,122,15.0
inutanu,ja,unknown,,4203,321,2,8.0
yumiko_296.owl,ja,unknown,,5913,429,8,7.000000000000001
petit___chambre,ja,unknown,,926,132,3,15.0
ibuki.japan,en,unknown,,56881,4230,37,8.0
ran_coma,unknown,unknown,,1826,134,7,8.0
dai.14,en,unknown,,913,239,10,27.0
kinoshitakazumi,ja,unknown,,19720,998,14,5.0
sugarmix70,ja,unknown,,21335,2695,35,13.0
tatsumi_oni,unknown,unknown,,1669,201,2,12.0
ta2funk,ja,unknown,,31014,1941,20,6.0
yokohyn,da,unknown,,1624,439,59,31.0
age_cox,da,unknown,,15385,1694,15,11.0
ku_ibusora,ja,unknown,,22116,1500,75,7.000000000000001
2emo19,ja,unknown,,1742,446,18,27.0
p0p0_balloon,da,unknown,,6217,341,4,6.0
achikochisochi,en,unknown,,82013,1565,10,2.0
acornmilk._.sweets,ja,unknown,,54530,2027,8,4.0
_n_a_t_s_u_m_i_,da,unknown,,19492,448,2,2.0
sg__tim,en,unknown,,3994,331,5,8.0
akokaricafe,ja,unknown,,11480,843,50,8.0
hirokingraphy,ja,unknown,,16888,1716,31,10.0
mosslight1955,ja,unknown,,48772,1433,8,3.0
ashimashiraishi,en,unknown,,239077,11772,145,5.0
takae821,ja,unknown,,2265,181,4,8.0
nayoko054,da,unknown,,20418,1405,28,7.000000000000001
yamasaki_shigeru,ja,unknown,,166785,10531,45,6.0
hidechan226,en,unknown,,9043,938,12,11.0
shizuko0026,ja,unknown,,19839,655,28,3.0
hagemaruchan_setsuko,ja,unknown,,10044,924,36,10.0
mana1130,en,unknown,,1020,95,3,10.0
shimakao_uta17,ja,unknown,,806,97,3,12.0
tko.kinoshita,jp,unknown,,230268,12794,50,6.0
__mika__m,ja,unknown,,6656,322,6,5.0
harucop,ja,unknown,,1740,282,18,17.0
hirotoohhara,en,unknown,,26536,1756,10,7.000000000000001
rexthehusky0619,ja,unknown,,10594,316,4,3.0
utosh,ja,unknown,,89883,2311,10,3.0
muradosmann,en,unknown,,4503896,144362,1376,3.0
gerutama,en,unknown,,770,47,0,6.0
snufkin25,ja,unknown,,9955,1128,11,11.0
mukka_cat,en,unknown,,3594,138,3,4.0
koko_secretrainbowpath,en,unknown,,28125,1714,67,6.0
chihirars,ja,unknown,,3032,285,9,10.0
tmhjk,ja,unknown,,17491,1095,13,6.0
toitoitoi_ring,ja,unknown,,8229,237,2,3.0
takupon0816,en,unknown,,15986,1773,105,12.0
fcmasamasa,ja,unknown,,4242,1012,20,24.0
hii.luaflo,ja,unknown,,4116,383,5,9.0
osamuyokonami,ja,unknown,,68626,1412,2,2.0
koron.n,ja,unknown,,57852,2194,11,4.0
papa_92__,en,unknown,,2369,301,8,13.0
tomochoi,ja,unknown,,651,115,4,18.0
verdure731,ja,unknown,,12564,927,28,8.0
akirakusaka,ja,unknown,,24448,1693,7,7.000000000000001
yamato1226,en,unknown,,49682,865,11,2.0
to_yan,en,unknown,,2798,307,26,12.0
miki_moni,en,unknown,,6551,104,1,2.0
_____9__,ja,unknown,,37598,1265,2,3.0
tokyodamagirls,en,unknown,,9012,332,8,4.0
satosu629,en,unknown,,1325,117,3,9.0
natsumi_muroi,ja,unknown,,15872,506,5,3.0
oolong_and_puer,en,unknown,,989,188,3,19.0
hitomi_kawakami,jp,unknown,,79274,3176,16,4.0
toshikisato,en,unknown,,1651,141,1,9.0
tomoro.m,ja,unknown,,110622,6536,110,6.0
hedgehog_azuki,ja,unknown,,356883,21482,158,6.0
cotito_yuka,ja,unknown,,32226,1459,2,5.0
pimlico_0157,en,unknown,,1177,220,10,20.0
myamejp,ja,unknown,,10578,275,2,3.0
___muse.asu___,ja,unknown,,2957,324,8,11.0
sakurasato0408,en,unknown,,2583,386,0,15.0
yuccomiiico,ja,unknown,,2321,193,4,8.0
kodomakeup,en,unknown,,11144,357,13,3.0
kaji_photochromism,en,unknown,,8059,1077,33,14.000000000000002
shinichillout54,en,unknown,,66727,2139,29,3.0
fuku_tsumugi,ja,unknown,,8112,610,14,8.0
petit_poco,ja,unknown,,31464,980,25,3.0
m_koho,ja,unknown,,16232,567,12,4.0
corin_1214,ja,unknown,,794,172,14,23.0
yuzooooo,en,unknown,,7468,236,2,3.0
mr35.a,en,unknown,,1344,181,19,15.0
sora_richie,en,unknown,,3147,152,2,5.0
mkcinnabon,ja,unknown,,866,157,16,20.0
noricame2,ja,unknown,,2582,268,9,11.0
konchannel_jp,en,unknown,,1474,673,7,46.0
koomie_log,en,unknown,,624,100,0,16.0
yuandtoro,en,unknown,,206203,6326,24,3.0
riebento,ja,unknown,,24446,1383,29,6.0
reiko.t.table,en,unknown,,12768,1357,33,11.0
azumamakoto,en,unknown,,76530,4628,67,6.0
funiochi,en,unknown,,4151,338,3,8.0
licht_02,unknown,unknown,,3284,504,11,16.0
tronc_miii,ja,unknown,,25670,804,1,3.0
sorahana39,ja,unknown,,1889,272,19,15.0
snow_bell95,ja,unknown,,40680,2179,12,5.0
chocochop2,en,unknown,,9528,444,5,5.0
naokis_gallery,ja,unknown,,1396,432,8,32.0
takorins,ja,unknown,,9767,661,19,7.000000000000001
la_fee_de_fleur,en,unknown,,49190,4024,135,8.0
shibainu_non,ja,unknown,,24425,1385,24,6.0
yumi_xon,ja,unknown,,1242,161,4,13.0
odeco_gram,en,unknown,,2411,195,4,8.0
gimico_gimico,da,unknown,,10345,656,5,6.0
koume_tan,ja,unknown,,47328,1726,21,4.0
keso1005,ja,unknown,,4202,415,5,10.0
ikukosenaga,ja,unknown,,19181,1820,10,10.0
kurebayashiii,en,unknown,,144610,4090,19,3.0
103noa,ja,unknown,,33786,1829,10,5.0
masayo_san,ja,unknown,,149442,3061,29,2.0
yuki__fujisawa,en,unknown,,14825,365,1,2.0
godive2000,en,unknown,,27885,2328,48,9.0
rika_beedama,ja,unknown,,7815,471,5,6.0
mayu_mymc,ja,unknown,,4853,522,24,11.0
akihiro617,en,unknown,,11786,412,18,4.0
errer_,ja,unknown,,45585,2332,6,5.0
makin,en,unknown,,4448,136,2,3.0
lilac.01,ja,unknown,,20239,1138,17,6.0
yukamannami,ja,unknown,,312160,12981,115,4.0
shikibrand,ja,unknown,,2458,141,5,6.0
_maitrii_yoga,en,unknown,,697,95,3,14.000000000000002
plumestagram,ja,unknown,,44610,1895,11,4.0
toile_blanche,en,unknown,,49999,3679,95,8.0
abe_haruya,ja,unknown,,104665,1654,16,2.0
wifeandhusband_kyoichi,en,unknown,,25958,1365,15,5.0
sphoto_j,en,unknown,,7365,787,21,11.0
atsu_1003,ja,unknown,,10567,1858,50,18.0
kuro_kuro_kuroppi,ja,unknown,,6662,669,15,10.0
a50a,da,unknown,,82831,3040,59,4.0
trickster_atsuki,en,unknown,,724,61,1,9.0
nyanchu__raff,da,unknown,,4454,415,4,9.0
tsumizo,en,unknown,,21070,2840,25,14.000000000000002
rumiplus,ja,unknown,,3993,218,3,6.0
ponchan918,ja,unknown,,275811,5377,55,2.0
chinazoron,en,unknown,,7692,324,6,4.0
trikotri222,ja,unknown,,58089,2188,12,4.0
muffin_the_munchkin,da,unknown,,38725,4768,21,12.0
maki_zuhause,en,unknown,,30920,2479,78,8.0
kyun_kun,en,unknown,,6746,157,2,2.0
kohakoharun,ja,unknown,,1396,82,2,6.0
tablebykeikohudson,en,unknown,,2139,72,1,3.0
_nori_28,en,unknown,,4645,353,13,8.0
mokumekko,ja,unknown,,1040,121,3,12.0
meguccco,en,unknown,,15751,1453,16,9.0
tomtom1486,en,unknown,,54945,3682,86,7.000000000000001
studio_tint,unknown,unknown,,29039,599,8,2.0
hal_h1010,en,unknown,,6801,175,29,3.0
yutaokashi,ja,unknown,,14346,1188,44,9.0
akiyuki28,ja,unknown,,480,54,2,12.0
akolonic_,unknown,unknown,,34737,354,14,1.0
zap_japan,ja,unknown,,7994,1423,47,18.0
nonaka_miho,ja,unknown,,42831,3220,13,8.0
official_kinako.jp,da,unknown,,17583,834,19,5.0
sachi_homemade,ja,unknown,,26746,2372,34,9.0
kazuyukikawahara,en,unknown,,43926,1424,6,3.0
vivichan0430,en,unknown,,1253,90,0,7.000000000000001
tokyopanzukan,ja,unknown,,6619,121,0,2.0
7010._.5,en,unknown,,3842,245,3,6.0
amano.jun,en,unknown,,2232,126,1,6.0
giacometti.65,ja,unknown,,2136,214,4,10.0
shizukubun,ja,unknown,,17092,1686,23,10.0
tsuyoshinges,en,unknown,,54847,1542,7,3.0
aixphoto,ja,unknown,,11510,871,36,8.0
rinran032,ja,unknown,,27427,1266,27,5.0
koz.t,unknown,unknown,,40339,1741,8,4.0
_____yu____,unknown,unknown,,12330,573,17,5.0
i_sa_mu555,ja,unknown,,933,203,16,23.0
396_zima,ja,unknown,,15175,1531,59,10.0
tora._.gram,ja,unknown,,1504,201,3,14.000000000000002
asami_kamioka,ja,unknown,,106102,3442,18,3.0
ryota_kik,en,unknown,,1545,102,2,7.000000000000001
yamano.shizuku,en,unknown,,643,135,1,21.0
maokp,ja,unknown,,1206,195,0,16.0
hanyacoro,ja,unknown,,53632,1640,77,3.0
neru0414,en,unknown,,12075,942,5,8.0
hokuto_ig,en,unknown,,14620,1391,15,10.0
yakushiman_teruya,ja,unknown,,1520,201,3,13.0
hirokobrasil,da,unknown,,4824,368,5,8.0
yasunari_hirai,en,unknown,,4461,137,2,3.0
1014ryo,ja,unknown,,802,121,2,15.0
tsubottlee,ja,unknown,,16061,560,5,4.0
_wasastagram_,ja,unknown,,26273,507,5,2.0
ayumi_masunari,ja,unknown,,959,84,3,9.0
ipnot,en,unknown,,45000,2568,15,6.0
nanaopon,en,unknown,,2441,115,1,5.0
masa08x,da,unknown,,7618,913,30,12.0
yuki_yasuda08,en,unknown,,5239,424,6,8.0
ui_hii618love,ja,unknown,,56449,5737,153,10.0
reico0907,ja,unknown,,2181,247,21,12.0
konel_bread,ja,unknown,,163863,1922,14,1.0
gnta,da,unknown,,47758,1373,17,3.0
puraten10,ja,unknown,,61985,5570,22,9.0
duffylovebird,en,unknown,,11268,449,6,4.0
michou_rk,en,unknown,,1471,217,24,16.0
chiku_uw,en,unknown,,22962,638,12,3.0
maochka,en,unknown,,8629,381,1,4.0
solfa1211,en,unknown,,18062,283,29,2.0
shimohyonn,ja,unknown,,2225,427,14,20.0
ryutaxx,ja,unknown,,1787,306,14,18.0
t.takaq,ja,unknown,,511,117,6,24.0
imuyamotas,ja,unknown,,14935,510,5,3.0
ai_mogmog,en,unknown,,12740,875,31,7.000000000000001
bs_scrap,ja,unknown,,1652,140,0,8.0
pudding39,ja,unknown,,3678,326,11,9.0
ilkoallexandroff,ja,unknown,,21421,1782,13,8.0
rio_the_shihpoo,en,unknown,,6922,221,5,3.0
foodpicjp,en,unknown,,24305,1251,131,6.0
koma.furniture,ja,unknown,,3841,206,1,5.0
u_photooo,ja,unknown,,5707,282,3,5.0
caprice_niki,ja,unknown,,886,143,8,17.0
tarutomari,ja,unknown,,11022,693,8,6.0
kusanagi_mtk,ja,unknown,,10296,944,18,9.0
__yu118,en,unknown,,7713,795,11,10.0
apy.m,en,unknown,,25145,1767,32,7.000000000000001
shi_n_go_m_0530,en,unknown,,10813,115,4,1.0
satochi61,en,unknown,,7366,277,25,4.0
ginn_husky,en,unknown,,34057,720,56,2.0
naominailsnyc,en,unknown,,156174,780,17,1.0
okada_yohei,unknown,unknown,,557,132,6,25.0
tyatara02,ja,unknown,,2418,169,2,7.000000000000001
shimogawakyozo,ja,unknown,,3668,261,4,7.000000000000001
hashimuki,ja,unknown,,27923,3418,37,12.0
cosydesign,en,unknown,,24793,777,5,3.0
cavalierkuu,ja,unknown,,9250,401,9,4.0
pedalstrike,en,unknown,,2288,68,3,3.0
hatsukako,ja,unknown,,2143,177,7,9.0
shimejiwasabi,da,unknown,,175617,5540,43,3.0
akiti_,ja,unknown,,3546,128,0,4.0
fourdirection,en,unknown,,4298,321,10,8.0
tanaka_tatsuya,en,unknown,,1175079,60233,149,5.0
uroncha1031,ja,unknown,,5864,420,2,7.000000000000001
kazumaru787,ja,unknown,,2041,146,1,7.000000000000001
futago_no_utarita,en,unknown,,15951,699,12,4.0
nao.fu.ri,ja,unknown,,2915,172,6,6.0
meojantanee,en,unknown,,41290,3400,37,8.0
daiki_utsumi,en,unknown,,1920,174,5,9.0
rina_takei,ja,unknown,,111457,7241,182,7.000000000000001
caneledujapon,ja,unknown,,60584,713,2,1.0
asana_hirame,ja,unknown,,1657,364,13,23.0
tacos_cat,ja,unknown,,13966,485,4,4.0
najii66,en,unknown,,123758,3295,39,3.0
shabon,en,unknown,,64068,2117,37,3.0
je_suis_mayu,unknown,unknown,,765,168,15,24.0
nano518pico,unknown,unknown,,39643,988,13,3.0
tkcland,ja,unknown,,974,161,11,18.0
kirakira_pepe,ja,unknown,,5124,176,10,4.0
birds_words,ja,unknown,,31063,840,7,3.0
j_ledzep,ja,unknown,,24607,1242,57,5.0
machiavelli_y,ja,unknown,,4865,319,3,7.000000000000001
kumo_ikebanalab,ja,unknown,,2749,357,5,13.0
feel_kiyomizudera,ja,unknown,,167698,6596,13,4.0
ryojiimaizumi,en,unknown,,179656,5593,138,3.0
___arr_,ja,unknown,,514,98,16,22.0
refume_3mama,en,unknown,,706,218,37,36.0
wagnus,da,unknown,,103661,2516,28,2.0
thejustfav,ja,unknown,,48485,226,3,0.0
schinako,en,unknown,,47321,4228,21,9.0
t0t01410,ja,unknown,,9911,614,9,6.0
manimani_online,ja,unknown,,3372,173,4,5.0
penji_no_hiroba,ja,unknown,,65277,703,2,1.0
daifuku.888,ja,unknown,,16163,542,18,3.0
umemichi77,unknown,unknown,,52062,590,7,1.0
chiaoking,en,unknown,,86098,2704,22,3.0
satoshi_1123,ja,unknown,,2979,288,12,10.0
macomo561,ja,unknown,,966,106,0,11.0
ginjiro_japan,en,unknown,,2014,61,1,3.0
mikkimikki0326,ja,unknown,,391,64,2,17.0
pacamera,en,unknown,,6117,493,7,8.0
kazuyabrian,ja,unknown,,2491,124,8,5.0
matsumotoooooo,ja,unknown,,238598,4765,20,2.0
sajilo_kayo,da,unknown,,20362,289,2,1.0
megu_flowers,ja,unknown,,5008,397,8,8.0
daifuku_channel,ja,unknown,,341865,13597,42,4.0
boomerangfrominstagram,en,unknown,,1189276,29234,341,2.0
otntty,en,unknown,,17928,765,6,4.0
eam0505,en,unknown,,20651,1517,13,7.000000000000001
i.am.ringogo,ja,unknown,,8524,440,20,5.0
appl__e____,en,unknown,,9162,498,2,5.0
marie_platz,ja,unknown,,739,151,5,21.0
moogabooga_animation,ja,unknown,,49834,258,4,1.0
kenji.87,da,unknown,,26896,693,10,3.0
pinkwater77,en,unknown,,1197,253,27,23.0
lovely2m,unknown,unknown,,4809,276,20,6.0
kozuekawabe,ja,unknown,,22451,1290,36,6.0
instagramfr,fr,unknown,,1535582,8984,393,1.0
_morio_,ja,unknown,,44588,305,10,1.0
r_you_me,en,unknown,,44091,252,4,1.0
nocoa2525,ja,unknown,,58559,2948,38,5.0
chihirograph,en,unknown,,13411,68,0,1.0
m.y1010,ja,unknown,,85449,462,2,1.0
maryn1114,en,unknown,,46571,331,19,1.0
lienjp,en,unknown,,8812,867,74,11.0
a_aizawa,ja,unknown,,23649,457,5,2.0
kuma3x3,da,unknown,,25632,192,1,1.0
1000wave,ja,unknown,,39683,809,10,2.0
bali_ayu,en,unknown,,58986,1144,35,2.0
hanacohan,en,unknown,,17031,635,14,4.0
aya_kobayashi_watercolorist,ja,unknown,,49442,1034,7,2.0
tanacame16,la,unknown,,4124,533,9,13.0
futa_and_nagomi,ja,unknown,,1082,122,3,12.0
2b1yro_,en,unknown,,9251,111,1,1.0
specter_007,ja,unknown,,11230,718,24,7.000000000000001
tebiti_mabuyer,en,unknown,,23065,963,22,4.0
_yodaka,en,unknown,,61660,2317,17,4.0
nuku321,en,unknown,,9025,221,3,2.0
chiemay23,ja,unknown,,2010,129,18,7.000000000000001
yosuke.horiyo,ja,unknown,,34173,692,11,2.0
yr.cpi,ja,unknown,,729,73,0,10.0
fuku_nyan,ja,unknown,,34058,2681,26,8.0
hardmaru,en,unknown,,1133,70,3,6.0
alicetea718,en,unknown,,5915,302,8,5.0
m.maco,ja,unknown,,1221,174,6,15.0
jamio3,unknown,unknown,,43806,635,53,2.0
paardmusee,ja,unknown,,48391,211,2,0.0
kononekome,en,unknown,,22021,215,8,1.0
yoshi0113,en,unknown,,1457,226,41,18.0
dog_dada,en,unknown,,148323,5931,260,4.0
kei__okuda,ja,unknown,,60203,2342,2,4.0
haku_whtrbt,en,unknown,,2703,200,7,8.0
juntowa,ja,unknown,,116267,1774,10,2.0
miyukiadachi,ja,unknown,,56710,537,15,1.0
rentomo_,en,unknown,,560,110,9,21.0
usagraph,ja,unknown,,28424,840,11,3.0
seiichihishikawa_bw,en,unknown,,1951,37,0,2.0
rossy_o3,ja,unknown,,3892,267,3,7.000000000000001
zahrada,en,unknown,,12935,318,27,3.0
yosuke_ueno,en,unknown,,66057,342,3,1.0
emuhal,ja,unknown,,2462,292,47,14.000000000000002
notesofnomads,en,unknown,,8158,350,9,4.0
__h_____nacs,ja,unknown,,2820,173,2,6.0
yur_rii,ja,unknown,,116138,1833,16,2.0
you_mot,en,unknown,,4043,112,8,3.0
rothbartbaron,unknown,unknown,,2919,92,0,3.0
hikarunosuke,en,unknown,,29446,1432,5,5.0
dnmk98,ja,unknown,,11698,643,5,6.0
sugichan25,en,unknown,,43510,618,1,1.0
ohitorisamarosefamily,en,unknown,,12340,1017,10,8.0
sesokomasayuki,ja,unknown,,150205,634,5,0.0
con4y,en,unknown,,8161,139,10,2.0
zinateki,ja,unknown,,2609,226,6,9.0
greenice1022,en,unknown,,10821,182,15,2.0
anazuvo,ja:100.0%,male,,33904,1302,28,4.0
sorayuchi,"ja:74.9%, el:25.1%",male,,55991,864,8,2.0
pikaring,da:100.0%,male,,15662,386,19,3.0
xwing_red5,da:100.0%,unknown,,8439,144,7,2.0
yuma_hidaka,da:100.0%,male,,50798,2282,68,5.0
stolodesu,ja:100.0%,female,,5115,247,3,5.0
mico2014,"ja:88.33%, en:11.67%",male,,14540,439,11,3.0
darayunya,"ja:83.21%, da:16.79%",female,,42076,1214,14,3.0
shimizumash,ja:100.0%,male,,6601,473,4,7.000000000000001
choom.online,ja:100.0%,male,,9299,668,10,7.000000000000001
acornmilk._.sweets,"ja:81.28%, en:18.72%",female,,54377,2072,8,4.0
1000wave,ja:100.0%,female,,39636,780,10,2.0
bonjour_licca,ja:100.0%,male,,80737,2414,6,3.0
yohko_ycsweets,"ja:88.28%, da:11.72%",unknown,,32629,513,6,2.0
cchhiiaakkii9,ja:100.0%,female,,16383,1208,5,7.000000000000001
uri_hanazono,da:100.0%,female,,5878,320,3,5.0
ayu_141223,ja:100.0%,female,,43335,1885,14,4.0
a.chanovo,"ja:52.49%, en:27.22%, xx-Qaai:20.3%",female,,13982,253,7,2.0
ai_okada_,ja:100.0%,male,,35436,1237,5,4.0
mizuho_goto,"ja:86.42%, en:13.58%",male,,12803,527,2,4.0
yoshidabi_zu,"ja:71.71%, en:17.0%, da:11.28%",female,,4132,171,1,4.0
si_oux,"ja:78.94%, en:21.06%",male,,30691,722,7,2.0
kurarasystem,ja:100.0%,unknown,,21665,167,0,1.0
kumamiki,ja:100.0%,unknown,,127649,5045,21,4.0
hyokkorihan,ja:100.0%,unknown,,56589,6737,32,12.0
tomo_fitness,ja:100.0%,male,,47527,1430,9,3.0
lializiko,ja:100.0%,male,,139731,16229,173,12.0
kudokankuro_anng,ja:100.0%,male,,11234,1475,28,13.0
doctorx_official,"ja:72.53%, xx-Qaai:27.47%",male,,48446,13318,168,28.000000000000004
hashimoto_kanna,ja:100.0%,male,,144518,11867,106,8.0
tsuyoshi_nagabuchi,ja:100.0%,male,,16097,2378,40,15.0
celeinaann,ja:100.0%,female,,39598,1566,16,4.0
kyarypappa,ja:100.0%,female,,1165563,54633,358,5.0
kyarypamyurin,ja:100.0%,female,,17722,1822,85,11.0
toriimiyukitorii,ja:100.0%,female,,106137,1807,8,2.0
reishito,"ja:76.47%, en:23.53%",male,,48360,576,3,1.0
ena1123,da:100.0%,male,,512616,2550,2,0.0
rgrazorramon,da:100.0%,male,,105380,3211,10,3.0
gackt,"ja:76.48%, en:23.52%",male,,532133,19836,518,4.0
