Username,Language Spoken,Gender,Location,Followers,Average likes,Average Comments,Engagement
carlibel,en,unknown,,5003653,137437,864,3.0
perihfect,en,female,,303692,6699,81,2.0
mariya_nishiuchi_official,unknown,male,,539747,33228,245,6.0
limecrime.russia,ru,male,,86226,1486,14,2.0
kendalljenner,unknown,unknown,,89131699,2804990,94891,3.0
aliciasprinkles,en,female,,4635,248,2,5.0
ptxofficial,en,unknown,,1643603,38702,294,2.0
sumire808,en,unknown,,430969,11247,65,3.0
dollskill,el,male,,1748899,29749,1242,2.0
daisukehayashinsta,ja,unknown,,1004,103,0,10.0
togaarchives,es,male,,197065,1096,0,1.0
rikiyaonishi,unknown,male,,461,77,2,17.0
lillylashes,en,female,,939109,3264,38,0.0
steveyeun,unknown,male,,3691626,179845,968,5.0
jirayu_jj,en,unknown,,4351639,170691,951,4.0
h0les_eyewear,en,male,,40803,875,19,2.0
trophywifenailart,en,male,,36013,422,9,1.0
chamloco0608,ja,unknown,,5653,124,0,2.0
miwakokakei,unknown,unknown,,1004777,21702,96,2.0
owndays_sg,en,male,,32884,599,94,2.0
lagaleriaelefante,en,male,,2088,54,1,3.0
sluizibiza,en,unknown,,17512,210,2,1.0
nervomusic,en,unknown,,1244805,21790,115,2.0
i_am_takahashi,ja,female,,696359,9055,24,1.0
bigandmilky,en,unknown,,780712,67988,837,9.0
nakedboynews,en,unknown,,12670,268,3,2.0
itsshangela,en,unknown,,618150,37989,502,6.0
namikikei,en,male,,2005,30,0,1.0
nihonhei_tsuji,en,unknown,,605,50,1,8.0
pearypie,en,unknown,,1560326,21646,39,1.0
linneatattoos,en,male,,30272,917,11,3.0
zolloc,br,unknown,,330870,10584,160,3.0
kuma_power,ja,male,,251264,20189,404,8.0
cats_of_instagram,en,male,,9077884,113019,1534,1.0
miranda_ibanez,es,unknown,,1594307,71329,290,4.0
mai_okawa_,en,male,,11959,329,10,3.0
yusuke_oishi_marcomonk,da,male,,4460,156,1,4.0
fresanaca,en,unknown,,123673,1982,15,2.0
yru,en,male,,286290,3502,31,1.0
darrensugiyama,en,male,,143704,1389,9,1.0
ayano00200,ja,male,,9379,548,10,6.0
animalsvideos,en,male,,1258628,28754,694,2.0
cocowhiteuk,en,unknown,,322739,235,8,0.0
seamusobrien,unknown,unknown,,2185381,32917,371,2.0
tensinmukai,unknown,unknown,,1236,102,2,8.0
oshimi_yasunori,ja,unknown,,2376,236,1,10.0
peachmomomomo,ja,unknown,,596,68,1,12.0
fuguriddim,en,unknown,,4105,230,0,6.0
sitabellan,en,male,,422817,11517,100,3.0
tessholliday,en,unknown,,1560881,39589,557,3.0
allnipponairways_official,en,male,,124579,2530,13,2.0
minikomi,en,male,,562,33,0,6.0
sheidlina,gd,female,,3847736,491700,2646,13.0
usvidaily,en,unknown,,111825,725,16,1.0
dolleyesny,en,female,,10379,966,17,9.0
margaret_cho,en,male,,132929,3142,56,2.0
janellemonae,en,unknown,,2168338,58874,523,3.0
saramaijewels,en,male,,166473,4770,120,3.0
baddiewinkle,en,unknown,,3365085,189572,3865,6.0
toga_xtc,ja,unknown,,38048,204,0,1.0
bellamihair,en,unknown,,1697862,9503,53,1.0
aussieplussizebarbie,en,unknown,,19673,524,19,3.0
masterkohta,unknown,unknown,,1068,73,1,7.000000000000001
alexanderwangny,en,male,,4031463,16734,131,0.0
hey_witness_me_,unknown,male,,403,74,2,19.0
kyliejenner,lv,unknown,,106416854,5047017,317006,5.0
tomocolovesmile,ja,female,,190077,17891,99,9.0
chrisjohnmillington,en,male,,475112,11489,101,2.0
atsuhikonakata,ja,unknown,,228795,9393,52,4.0
kidsaretheworst,en,male,,378194,6813,515,2.0
fujimori_shingo0317,ja,unknown,,640459,22204,90,3.0
punipuni729,ja,unknown,,14096,581,6,4.0
stl_takuji,en,male,,11350,0,0,0.0
ellirose,da,male,,236338,3732,15,2.0
ederfernaandocabelos,en,male,,156528,5562,169,4.0
shinashina0426,ja,unknown,,148530,4246,45,3.0
andiautumn,en,unknown,,112355,2436,71,2.0
babychi_official,da,unknown,,73302,3767,18,5.0
rincon_da_bully,en,unknown,,26076,809,4,3.0
tsukasa_trandy,en,unknown,,892361,33053,209,4.0
imagoharder,en,male,,832,77,4,10.0
